File,Prototype Use,Replacement Status,Permission Status,Alt Text Draft,Notes
mantee-water-tower-hero.jpg,Homepage hero backdrop,DRAFT_LOCAL_PHOTO,NEEDS_CONFIRMATION,"Aerial view of the Mantee water tower and surrounding rural landscape","Web-ready draft copy generated from local drone photography. Confirm permission before final launch."
mantee-community-aerial.jpg,Homepage community backdrop band,DRAFT_LOCAL_PHOTO,NEEDS_CONFIRMATION,"Aerial view of the Mantee area with water tower, lake, roads, and trees","Web-ready draft copy generated from local drone photography. Confirm permission before final launch."
hero-town-backdrop.svg,Homepage hero backdrop fallback,PLACEHOLDER,NEEDS_CONFIRMATION,"Approved wide local Town of Mantee photograph","Keep as fallback if the draft photo is removed."
community-backdrop-placeholder.svg,Homepage community backdrop fallback,PLACEHOLDER,NEEDS_CONFIRMATION,"Approved community photograph from Mantee","Keep as fallback if the draft photo is removed."
mantee-depot-placeholder.svg,Mantee Depot card and community page,PLACEHOLDER,NEEDS_CONFIRMATION,"Mantee Depot","Confirm historical description and photo rights."
heritage-museum-placeholder.svg,Museum card and community page,PLACEHOLDER,NEEDS_CONFIRMATION,"Mantee Heritage and History Museum","Confirm approved public name and photo rights."
walking-track-placeholder.svg,Walking Track card,PLACEHOLDER,NEEDS_CONFIRMATION,"Walking Track in Mantee","Confirm location, hours, rules, and photo rights."
farmers-market-placeholder.svg,Farmers Market card,PLACEHOLDER,NEEDS_CONFIRMATION,"Farmers Market in Mantee","Confirm schedule, vendor process, and photo rights."
community-center-placeholder.svg,Community Center page,PLACEHOLDER,NEEDS_CONFIRMATION,"Town of Mantee Community Center","Confirm facility details and photo rights."
photo-placeholder.svg,Generic fallback placeholder,PLACEHOLDER,NEEDS_CONFIRMATION,"Local photo placeholder","Keep as fallback."
